K	ADVFM	FM	PT	ID
 0	70.81	81.936	70.374	0318
 0	71.062	80.124	69.376	0827
 0	71.062	80	71.812	0663
 0	71.062	81.374	69.5	0400
 0	71.124	69.814	74.374	0529
 0	71.248	82.75	66.998	0250
 0	71.374	68.186	70.5	0536
 0	71.376	78.376	72	0729
 0	71.436	75.188	64.438	0636
 0	71.436	75.564	68.562	0020
 0	71.438	80.564	69.438	0165
 0	71.502	81.124	68.312	0388
 0	71.502	82.874	68.502	0725
 0	71.626	79.252	68.938	0766
 0	71.626	84.626	68.874	0637
 0	71.752	65.748	67.5	0734
 0	71.75	69.626	67.686	0670
 0	71.75	77.812	66.874	0627
 0	71.75	80.814	68.688	0217
 0	71.814	78	72.686	0850
 0	71.876	67.376	73.312	0609
 0	72.124	64.19	69.124	0490
 0	72.126	67.25	67.938	0271
 0	72.186	77.498	69.5	0055
 0	72.25	61.812	71.124	0098
 0	72.25	82.876	70.06	0104
 0	72.312	82.436	68.436	0483
 0	72.314	78.374	68.374	0007
 0	72.376	76.438	65.25	0726
 0	72.436	81.938	70.5	0736
 0	72.562	75	71.312	0469
 0	72.564	77.624	70.312	0026
 0	72.5	66.062	70.188	0597
 0	72.5	69.566	71.688	0299
 0	72.626	72	68.998	0604
 0	72.688	65.938	70.252	0045
 0	72.688	69.938	71.628	0238
 0	72.752	62.374	68.936	0513
 0	72.752	81.376	73.314	0031
 0	72.75	71.75	68.064	0869
 0	72.812	72.062	70.938	0435
 0	72.814	64.688	70.752	0693
 0	72.814	78.502	73.688	0845
 0	72.874	76.748	67	0371
 0	72.936	76.5	70.062	0823
 0	72.94	75.624	64.686	0385
 0	73.064	78.376	69.188	0321
 0	73.064	80.626	67.126	0352
 0	73.122	63.186	71.502	0350
 0	73.124	80.876	69.374	0354
 0	73.124	83.062	71.314	0521
 0	73.186	59.438	69.498	0200
 0	73.19	82.688	72.81	0794
 0	73.25	81.562	70	0174
 0	73.314	75.75	72.436	0331
 0	73.376	62.75	68.44	0632
 0	73.376	64	68.19	0843
 0	73.436	79.876	68.626	0743
 0	73.438	63.064	71.06	0230
 0	73.44	59.81	68.312	0320
 0	73.498	77.186	67.374	0861
 0	73.562	79.874	66.564	0419
 0	73.562	82.126	70.562	0167
 0	73.562	82.938	67.622	0856
 0	73.564	55.502	68.938	0613
 0	73.5	76.374	70.126	0537
 0	73.5	80.686	70.56	0545
 0	73.624	81.188	67.44	0682
 0	73.626	65.252	67.062	0442
 0	73.688	84.31	68.186	0189
 0	73.752	84.5	68.19	0796
 0	73.75	58.688	66.938	0344
 0	73.75	64.25	69.5	0135
 0	73.812	79.062	68.25	0577
 0	73.874	66.874	71.252	0278
 0	73.876	82.06	70.812	0184
 0	73.936	79.126	67.56	0420
 0	73.938	71.062	67.248	0770
 0	73.94	77.314	67.81	0462
 0	74.062	81.686	66.562	0573
 0	74.064	65.752	68.438	0259
 0	74.124	74.062	68.876	0841
 0	74.186	80.126	70.75	0058
 0	74.19	63.062	68.252	0503
 0	74.252	77.686	68.816	0705
 0	74.312	69.186	68.438	0624
 0	74.314	77.124	71.562	0777
 0	74.374	83.498	68.5	0428
 0	74.376	81.562	69.688	0453
 0	74.438	69.498	69.312	0716
 0	74.562	79.25	67.688	0369
 0	74.622	82.312	70.688	0595
 0	74.626	78.686	71.252	0080
 0	74.686	70.748	69.314	0538
 0	74.688	68.624	71.812	0731
 0	74.752	81.624	68.812	0685
 0	74.75	69.126	69.938	0449
 0	74.75	83.438	69.436	0574
 0	74.812	63.75	68.062	0227
 0	74.936	70.626	69.878	0296
 0	74.938	77.814	70.126	0656
 0	74.998	62.938	71.25	0389
 0	75.062	75.124	67.25	0606
 0	75.126	64.376	68.562	0711
 0	75.186	68.936	68.438	0401
 0	75.186	78.564	70.876	0146
 0	75.186	79	68.188	0732
 0	75.188	76.126	65.564	0757
 0	75.25	64.5	67.686	0710
 0	75.25	74.748	67.062	0409
 0	75.25	76.124	66.062	0082
 0	75.312	79.314	67.252	0313
 0	75.314	73.998	66.124	0043
 0	75.316	62.312	71.75	0351
 0	75.374	81.938	69.314	0721
 0	75.436	76.314	70.502	0652
