K	ADVFM_AVG	ADVFM_NEW-OLD	ADVFM_behind	ADVFM_in	ADVFM_near	ADVFM_on	FM	FMS	PT	SYNTH	ID
0	31.445	42.82	54.31	7.55	51.4	12.52	85.68	92.43	82.7	81.25	2059
0	25.0225	50.05	99.64	0.0	0.45	0.0	89.73	89.55	57.89	50.0	2060
64	24.995	49.99	99.93	0.0	0.05	0.0	89.83	89.31	57.71	42.19	2049
64	25.19	50.38	98.76	0.0	2.0	0.0	89.45	89.35	58.12	42.19	1541
0	29.6625	48.41	79.9	5.11	27.83	5.81	85.3	92.16	79.98	75.0	0030
64	55.5075	-47.49	16.02	76.03	47.5	82.48	74.08	84.26	83.42	78.12	2051
0	40.9375	5.28	32.8	33.74	54.35	42.86	75.82	91.74	82.58	79.69	0540
0	30.2	48.05	55.45	5.11	53.0	7.24	83.92	91.21	81.63	84.38	2053
64	47.4625	11.73	77.87	37.07	28.78	46.13	87.69	91.82	81.16	78.12	2503
0	46.88	-52.33	16.35	82.91	25.08	63.18	64.16	82.91	83.27	53.12	2511
0	25.0125	50.03	99.9	0.0	0.15	0.0	89.47	89.65	57.63	57.81	2535
0	26.625	53.25	92.49	0.0	14.01	0.0	89.67	89.61	56.35	45.31	1571
64	30.4625	44.95	72.94	7.1	32.93	8.88	89.41	92.26	80.7	78.12	1501
0	24.975	49.95	99.9	0.0	0.0	0.0	80.56	80.76	57.94	31.25	1000
64	41.18	14.86	25.85	30.08	71.37	37.42	83.64	90.81	82.68	78.12	2513
0	39.925	-20.95	23.01	51.83	35.89	48.97	65.57	89.1	80.86	78.12	1053
0	48.8	-38.19	38.09	66.7	21.32	69.09	62.47	81.15	81.6	75.0	0511
0	25.78	51.56	87.3	0.0	15.82	0.0	89.89	89.83	58.17	48.44	0018
64	27.64	21.65	76.93	33.63	0.0	0.0	57.15	56.91	59.05	57.81	2037
0	24.0	48.0	76.73	0.0	19.27	0.0	89.67	89.65	57.17	62.5	2026
64	0.9125	1.61	0.03	0.22	3.4	0.0	1.22	1.3	0.08	1.56	3557
0	24.9925	49.98	99.97	0.0	0.0	0.0	90.06	89.47	57.94	35.94	1003
0	25.2875	50.57	90.54	0.0	10.61	0.0	89.71	89.55	57.58	56.25	0566
0	34.2275	36.45	62.01	9.88	42.89	22.13	81.92	89.94	79.98	73.44	1058
64	49.5175	-23.3	25.03	55.38	50.7	66.96	76.18	83.11	81.81	68.75	0570
64	25.57	51.14	93.02	0.0	9.26	0.0	89.85	90.16	57.81	57.81	2080
64	35.5325	22.82	21.96	12.54	71.92	35.71	85.8	90.77	82.6	65.62	1533
64	47.0825	1.38	32.73	30.97	62.81	61.82	86.09	91.7	84.81	73.44	1545
64	49.7675	-4.61	42.92	55.38	52.0	48.77	86.35	91.23	83.01	73.44	2085
0	25.71	51.42	94.58	0.0	8.26	0.0	89.75	89.77	58.92	57.81	2585
64	22.2575	-34.75	0.0	42.95	9.76	36.32	8.91	9.72	39.06	26.56	2076
0	51.3075	-23.41	41.51	57.27	37.69	68.76	77.42	83.74	81.91	81.25	3054
0	29.2875	41.68	40.89	7.55	59.36	9.35	86.61	91.53	83.58	73.44	1080
0	42.8125	-34.48	18.96	60.16	32.18	59.95	69.3	91.64	85.6	79.69	3509
64	25.305	50.61	94.91	0.0	6.31	0.0	90.04	89.65	57.15	56.25	0055
0	26.0025	52.0	93.15	0.0	10.86	0.0	89.85	90.28	58.48	53.12	3031
0	48.0775	-67.22	13.12	82.46	15.82	80.91	51.36	69.6	81.68	75.0	2569
64	25.48	50.96	77.15	0.0	24.77	0.0	90.2	89.63	57.84	51.56	3049
64	25.355	50.71	99.02	0.0	2.4	0.0	89.75	89.59	57.25	46.88	2500
64	47.32	-3.81	26.57	39.84	64.26	58.61	80.11	86.86	80.63	76.56	0021
64	25.72	51.44	93.02	0.0	9.86	0.0	89.71	89.43	58.71	67.19	3578
0	25.2475	50.5	96.74	0.0	4.25	0.0	89.73	89.35	57.38	43.75	1025
0	24.9975	49.99	99.74	0.0	0.25	0.0	89.92	89.91	56.92	57.81	1554
64	25.03	50.06	99.67	0.0	0.45	0.0	89.19	89.41	57.51	60.94	0085
64	26.4925	52.98	89.2	0.0	16.77	0.0	89.92	89.55	57.22	48.44	2507
64	25.4125	50.82	99.35	0.0	2.3	0.0	89.85	89.71	58.28	71.88	1506
0	25.0425	50.08	99.87	0.0	0.3	0.0	89.13	89.02	57.33	51.56	3569
0	25.6225	51.25	93.83	0.0	8.66	0.0	90.0	88.78	58.35	42.19	3560
0	48.59	-37.23	28.72	62.71	31.23	71.7	62.8	81.63	81.91	70.31	1066
0	25.3925	50.55	84.37	0.0	16.97	0.23	85.34	85.97	57.89	50.0	1091
0	42.015	-40.13	21.38	60.04	22.52	64.12	64.01	81.65	82.06	64.06	2546
0	39.5125	11.62	35.74	24.75	54.9	42.66	76.91	88.8	81.58	84.38	0065
0	35.1825	18.82	33.68	15.76	55.51	35.78	77.91	92.12	83.96	85.94	1039
64	49.7575	-6.71	28.39	50.72	64.41	55.51	80.72	87.91	78.73	73.44	3006
64	25.05	50.1	99.9	0.0	0.3	0.0	88.96	89.89	57.17	45.31	3573
64	28.285	55.87	45.72	0.33	66.72	0.37	89.59	91.98	79.09	73.44	3032
64	61.19	-33.88	34.6	79.69	53.9	76.57	77.08	89.23	83.86	79.69	2062
64	56.54	-23.26	65.05	64.04	24.77	72.3	73.31	81.94	80.4	70.31	1069
64	25.32	50.64	99.58	0.0	1.7	0.0	89.59	89.77	55.94	48.44	3044
64	24.8825	49.77	99.38	0.0	0.15	0.0	89.59	89.23	56.99	46.88	3034
64	53.01	-11.04	73.96	57.38	21.02	59.68	86.33	91.15	83.96	73.44	2505
64	26.9325	53.86	90.31	0.0	17.42	0.0	90.24	90.34	57.71	60.94	2058
0	25.0	50.0	100.0	0.0	0.0	0.0	88.66	89.85	57.12	45.31	3530
64	40.61	1.74	28.56	27.08	54.4	52.4	79.57	90.52	82.01	71.88	0074
