K	ADVFM_AVG	ADVFM_NEW-OLD	ADVFM_behind	ADVFM_in	ADVFM_near	ADVFM_on	ADVFM_under	FM	FMS	PT	SYNTH	ID
64	24.214	18.34	90.74	20.47	0.97	5.96	2.93	62.83	63.23	58.11	39.06	0812
0	23.114	38.52	25.66	0.0	22.31	0.0	67.6	88.57	88.18	58.09	51.56	0827
64	48.74	-33.79	30.48	74.04	37.87	63.99	37.32	82.86	81.18	69.64	53.12	0030
0	23.152	38.56	45.3	0.0	39.92	0.04	30.5	88.8	88.87	69.22	70.31	0306
0	24.602	41.0	30.87	0.0	20.37	0.0	71.77	88.0	88.51	66.84	71.88	0791
64	23.216	38.69	17.92	0.0	67.59	0.0	30.57	87.76	87.24	57.95	35.94	0506
0	40.13	-38.23	17.28	76.49	2.54	49.65	54.69	64.55	81.01	77.9	64.06	0320
64	24.236	40.39	58.25	0.0	1.57	0.0	61.36	88.84	88.72	57.3	29.69	0516
64	21.272	12.64	78.99	27.37	0.0	0.0	0.0	63.56	63.77	57.92	48.44	0038
0	25.944	40.87	25.77	0.94	62.61	1.91	38.49	88.97	90.57	72.36	81.25	0509
64	24.124	40.21	51.53	0.0	3.84	0.0	65.25	88.82	88.64	58.11	51.56	0330
64	19.926	33.21	74.52	0.0	19.61	0.0	5.5	88.71	88.84	58.06	51.56	0793
64	20.492	34.15	88.42	0.0	5.46	0.0	8.58	88.72	88.89	57.39	67.19	0062
64	39.908	-14.56	7.64	59.88	56.13	37.4	38.49	83.11	85.24	72.27	76.56	0534
64	38.084	-9.48	7.5	45.73	24.04	41.82	71.33	82.96	88.33	71.38	71.88	0053
64	23.906	37.32	46.57	0.12	32.25	2.91	37.68	88.41	88.49	67.4	75.0	0514
0	39.414	-28.98	12.14	48.65	27.93	64.95	43.4	65.7	79.24	71.99	60.94	0816
0	22.482	37.47	6.83	0.0	41.65	0.0	63.93	88.85	88.84	57.05	59.38	0523
64	20.696	34.49	61.67	0.0	28.47	0.0	13.34	88.64	88.8	57.55	43.75	0055
64	24.994	41.27	52.34	0.47	13.88	0.0	58.28	87.75	88.44	66.51	81.25	0754
64	23.794	39.65	61.53	0.0	25.18	0.0	32.26	88.66	88.84	58.03	62.5	0300
0	21.888	36.48	77.54	0.0	12.91	0.0	18.99	89.05	88.64	56.99	57.81	0045
64	21.048	35.08	66.67	0.0	23.39	0.0	15.18	88.46	88.38	57.25	62.5	0821
0	24.0	38.9	40.62	1.17	27.55	0.15	50.51	89.71	90.89	74.73	57.81	0799
