K	ADVFM_AVG	ADVFM_in	ADVFM_on	ADVFM_near	ADVFM_behind	ADVFM_under	FM	PT	ID
 0	34.8427	87.7567	86.4567	0	0	0	8.75	81.3567	0680
 0	35.8333	88.02	90.6267	0.52	0	0	15.8333	79.6867	0059
 0	35.9893	90.6233	89.3233	0	0	0	10.5233	80.6233	0563
 0	35.9893	91.4067	87.76	0.78	0	0	13.8533	81.3567	0888
 0	36.0407	92.7067	84.1133	2.86333	0	0.52	21.04	81.2467	0640
 0	36.0413	88.8	91.4067	0	0	0	11.46	83.1233	0375
 0	36.5107	91.6667	85.94	3.64667	0.78	0.52	24.8967	78.54	0353
 0	38.9053	90.8833	88.8	8.59333	4.16667	2.08333	29.6867	78.02	0837
 0	47.6033	73.18	24.2167	59.8933	39.06	41.6667	56.4567	75.73	0296
 0	48.8014	19.79	4.68667	73.6967	79.4267	66.4067	69.3767	59.48	0010
 0	48.802	17.71	0.52	63.28	94.01	68.49	70.4167	57.0833	0386
 0	50.416	81.51	70.8333	45.5733	40.6233	13.54	54.27	80.5233	0042
 0	51.6667	67.97	39.8433	63.54	53.3833	33.5967	66.6667	79.3767	0409
 0	52.9167	57.5533	29.4267	59.6333	58.5933	59.3767	65.73	71.04	0070
 0	53.2287	77.8633	59.3767	52.3433	53.3833	23.1767	62.6033	81.98	0817
 0	53.228	78.9067	69.27	41.9233	41.6667	34.3733	63.7533	80.6267	0937
 0	53.542	73.7	54.1667	59.6367	52.6033	27.6033	63.02	82.3967	0257
 0	53.8027	1.04	0	78.6467	99.48	89.8467	83.02	57.3967	0879
 0	53.9587	71.8767	48.7	60.4167	60.4167	28.3833	63.44	79.79	0155
 0	54.218	76.0433	60.6733	56.77	51.04	26.5633	61.5633	78.2333	0019
 0	54.9467	77.8633	53.6433	59.3733	54.6867	29.1667	63.96	81.56	0110
 0	55.3133	66.93	43.23	65.3633	67.19	33.8533	71.0433	78.0233	0676
 0	55.7813	6.77	0	85.94	96.8733	89.3233	80.8333	51.04	0752
 0	56.1973	77.0833	51.5633	61.4567	60.6767	30.2067	66.1467	80.1033	0760
 0	56.8233	71.6133	69.2733	47.6567	51.3033	44.27	65.9367	79.8967	0881
 0	56.928	78.1267	58.5933	57.5533	54.95	35.4167	64.6867	81.98	0766
 0	57.186	69.27	46.6167	68.4867	65.6233	35.9333	71.5633	80.42	0351
 0	57.2927	8.33333	0	85.68	98.1767	94.2733	80.3133	56.98	0366
 0	57.656	53.9067	28.1233	82.8133	75	48.4367	77.0833	79.27	0103
 0	57.9693	61.98	32.29	71.8733	78.1267	45.5767	77.6067	78.8567	0083
 0	58.958	76.0433	71.0933	46.0933	55.4667	46.0933	66.8767	79.1667	0933
 0	59.0627	0	0	99.48	100	95.8333	86.1467	59.8967	0066
 0	59.0627	0.26	0.78	95.8333	99.74	98.7	86.8767	54.3733	0595
 0	59.2713	0	0	97.3967	100	98.96	89.7933	58.3333	0356
 0	59.3233	0	0	98.96	100	97.6567	88.1233	56.25	0372
 0	59.3247	79.69	78.9067	44.5333	45.0533	48.44	62.6033	78.3333	0380
 0	59.478	52.8667	16.1433	85.6767	87.7567	54.9467	77.5033	75.73	0528
 0	59.4793	0	0	97.6567	100	99.74	86.98	57.19	0140
 0	59.5313	0	0	99.48	100	98.1767	86.46	59.2733	0170
 0	59.5313	6.77333	2.08	96.3533	94.27	98.18	89.27	81.25	0411
 0	59.584	0	0	98.44	100	99.48	87.3967	56.98	0400
 0	59.6367	4.16667	1.56333	98.44	97.1367	96.8767	90.21	81.1433	0608
 0	59.6873	0	0	98.4367	100	100	90.21	57.8133	0925
 0	59.6887	23.96	5.20667	91.1467	96.3567	81.7733	88.1267	79.3733	0619
 0	59.7907	23.4367	2.86333	93.4867	95.5733	83.5933	86.77	77.1867	0425
 0	59.792	0	0	99.22	100	99.74	87.0833	56.1433	0623
 0	59.792	0	0	99.48	100	99.48	85.4167	58.9567	0422
 0	59.792	0.26	0	99.22	100	99.48	89.3767	78.1233	0799
 0	59.844	0	0	99.74	100	99.48	87.2933	55.2067	0075
 0	59.896	0	0	100	100	99.48	89.0633	59.1667	0439
 0	59.896	0	0	99.74	100	99.74	89.5833	55.8333	0583
 0	59.948	0	0	100	100	99.74	90.9367	77.2933	0327
 0	59.948	0	0	99.74	100	100	88.6433	58.3367	0673
 0	59.948	0	0	99.74	100	100	88.6467	75.8333	0895
 0	59.948	0	0	99.74	100	100	89.8933	79.3767	0855
 0	60	0	0	100	100	100	87.5	59.5833	0517
 0	60	0	0	100	100	100	87.7067	58.6467	0510
 0	60	0	0	100	100	100	88.02	54.7933	0107
 0	60	0	0	100	100	100	88.02	57.6	0755
 0	60	0	0	100	100	100	88.1233	55.2067	0109
 0	60	0	0	100	100	100	88.6467	57.9167	0142
 0	60	0	0	100	100	100	88.8533	57.5	0291
 0	60	0	0	100	100	100	88.9567	55.8333	0007
 0	60	0	0	100	100	100	88.9567	57.71	0081
 0	60	0	0	100	100	100	88.9567	61.2467	0927
 0	60	0	0	100	100	100	88.96	57.29	0507
 0	60	0	0	100	100	100	89.1633	57.8133	0862
 0	60	0	0	100	100	100	89.1667	56.77	0850
 0	60	0	0	100	100	100	89.27	59.3767	0130
 0	60	0	0	100	100	100	89.4767	57.0867	0514
 0	60	0	0	100	100	100	89.4767	59.8933	0564
 0	60	0	0	100	100	100	89.4833	76.25	0041
 0	60	0	0	100	100	100	89.69	76.8767	0651
 0	60	0	0	100	100	100	90.1033	59.3767	0069
 0	60	0	0	100	100	100	90.52	59.27	0529
 0	60	0	0	100	100	100	90	58.8567	0122
 0	60	0	0	100	100	100	91.04	55.4167	0300
 0	60	0	0	100	100	100	91.04	79.79	0929
 0	60	0.26	0	100	100	99.74	91.4567	76.25	0839
 0	60.052	0.26	0	100	100	100	90.1033	80.1033	0044
 0	60.0527	33.3367	12.2367	91.41	91.9267	71.3533	81.46	78.4367	0889
 0	60.104	0.78	0	100	100	99.74	91.5633	77.71	0393
 0	60.104	1.04	0	99.74	100	99.74	90.5233	78.8533	0814
 0	60.156	1.56	0	99.74	100	99.48	90.0033	76.5633	0332
 0	60.1567	2.08333	0.26	99.48	99.22	99.74	89.79	76.1467	0805
 0	60.2073	72.6533	54.9467	62.24	64.58	46.6167	73.1267	82.92	0654
 0	60.2607	12.2367	2.08333	95.3133	96.6167	95.0533	89.5833	79.79	0079
 0	60.3647	66.1433	71.0967	53.9067	61.2	49.4767	68.75	81.6633	0591
 0	60	44.7933	16.9267	81.7667	89.0633	67.45	83.4367	81.8733	0523
 0	60.47	7.29	3.90667	97.66	96.0933	97.4	91.56	82.19	0601
 0	60.5207	3.12333	0	100	100	99.48	89.1667	79.0633	0294
 0	60.522	7.29333	2.60333	96.3533	97.14	99.22	89.27	81.25	0500
 0	60.5733	4.43	3.90333	97.1367	98.1767	99.22	90.2067	82.71	0873
 0	60.5733	7.29	2.86333	97.66	96.0933	98.96	90.1033	80.52	0055
 0	60.626	6.77	1.56	98.44	97.66	98.7	89.3733	75.1033	0509
 0	60.7293	71.0933	71.3533	52.3433	58.5967	50.26	69.17	79.8967	0274
 0	60.834	12.24	1.56	97.1367	95.5733	97.66	90.5233	80.4167	0344
 0	60.8853	75.52	64.06	58.0733	56.25	50.5233	73.1233	78.96	0614
 0	61.0413	6.24667	1.56	99.22	99.22	98.96	90.73	84.1667	0558
 0	61.0947	7.81667	2.08	98.18	97.9167	99.48	89.4767	81.0433	0917
 0	61.1973	60.1533	41.9267	69.2733	77.8633	56.77	77.6033	77.6033	0533
 0	61.198	7.29	8.85333	97.1367	95.3133	97.3967	89.5833	78.3367	0297
 0	61.2514	10.1567	4.68667	96.8767	96.0967	98.44	88.3333	80.2067	0099
 0	61.25	23.4367	3.64667	94.27	95.3133	89.5833	89.5833	81.4567	0508
 0	61.3013	15.3633	2.86333	94.7933	95.57	97.9167	89.5833	77.9167	0182
 0	61.3567	13.0233	2.86667	97.66	94.2733	98.96	90.8333	81.1467	0853
 0	61.512	5.99	7.81667	97.6567	97.1367	98.96	90.2067	83.02	0435
 0	61.5627	10.9367	9.37667	94.27	94.27	98.96	88.44	81.8767	0527
 0	61.5627	61.72	59.6333	59.1167	69.27	58.0733	75.4167	81.56	0918
 0	61.6153	35.42	15.1033	91.1433	92.45	73.96	84.5867	78.23	0574
 0	61.616	13.2833	1.3	96.8767	97.92	98.7	89.3733	80.2067	0302
 0	61.72	4.94667	9.11667	97.3967	98.7	98.44	90.1	80.94	0355
 0	61.77	73.96	67.4467	52.6033	62.76	52.08	67.71	76.1433	0526
 0	61.824	14.8433	4.16333	97.14	95.5733	97.4	89.1667	81.77	0893
 0	61.9273	14.8467	7.55	96.8767	93.49	96.8733	88.8567	81.56	0844
 0	61.9273	70.0533	45.3133	68.23	68.75	57.29	76.0433	80.42	0916
