K	ADVFM_AVG	ADVFM_NEW-OLD	ADVFM_behind	ADVFM_in	ADVFM_near	ADVFM_on	FM	FMS	PT	SYNTH	ID
0	61.4325	25.02	74.77	43.17	73.12	54.67	78.57	89.37	83.24	75.0	0769
64	73.0925	5.96	71.51	70.37	80.63	69.86	80.9	91.94	84.12	75.0	0508
0	50.0	100.0	100.0	0.0	100.0	0.0	89.51	89.35	57.97	57.81	0036
0	51.2075	-65.5	21.05	83.46	15.87	84.45	47.18	77.1	82.83	68.75	0524
64	68.64	10.77	76.08	67.7	71.97	58.81	80.62	88.66	81.58	71.88	0026
64	71.5725	41.34	91.94	44.73	92.54	57.08	88.4	91.86	82.45	68.75	1528
0	50.0	100.0	100.0	0.0	100.0	0.0	90.04	89.27	56.86	56.25	1293
0	50.0075	99.98	100.0	0.0	100.0	0.03	89.61	89.83	58.66	65.62	0250
64	50.0	100.0	100.0	0.0	100.0	0.0	89.59	89.83	57.71	39.06	1533
0	51.0025	-33.68	33.94	50.61	34.38	85.08	62.33	87.42	85.32	60.94	1291
0	54.555	-47.7	32.18	81.91	29.23	74.9	58.42	77.8	80.32	62.5	1520
0	59.725	11.74	71.28	56.94	59.91	50.77	75.44	91.6	81.32	71.88	0024
0	50.0	100.0	100.0	0.0	100.0	0.0	90.2	90.26	58.04	65.62	1538
0	50.055	69.21	91.29	21.42	78.03	9.48	71.18	71.99	55.68	42.19	1516
0	63.37	23.49	75.0	42.4	75.23	60.85	75.07	90.36	82.76	79.69	1772
0	62.3725	55.25	89.56	27.3	90.44	42.19	81.83	90.3	79.98	76.56	0275
0	50.0	100.0	100.0	0.0	100.0	0.0	89.21	88.96	58.48	42.19	0533
64	37.0125	12.4	42.13	61.6	44.29	0.03	59.3	59.01	58.4	39.06	1289
64	74.655	19.21	84.69	60.71	83.83	69.39	85.66	91.74	84.45	82.81	1529
64	50.0	100.0	100.0	0.0	100.0	0.0	89.02	89.29	57.12	42.19	0285
0	60.6925	42.41	86.91	37.96	76.88	41.02	75.96	85.48	80.04	64.06	0288
64	69.895	39.35	84.2	32.85	94.94	67.59	85.22	92.99	82.6	89.06	0033
0	61.21	-36.48	47.65	83.13	38.29	75.77	62.7	82.77	81.93	65.62	0272
0	50.0	100.0	100.0	0.0	100.0	0.0	89.04	89.94	57.89	46.88	0031
0	50.0	100.0	100.0	0.0	100.0	0.0	89.89	89.94	57.87	51.56	1271
0	50.0	100.0	100.0	0.0	100.0	0.0	89.19	88.88	57.61	42.19	0261
0	50.0	100.0	100.0	0.0	100.0	0.0	89.87	89.39	56.97	50.0	0761
0	50.0	100.0	100.0	0.0	100.0	0.0	89.89	89.65	58.63	48.44	0779
64	67.63	30.81	81.59	45.17	84.48	59.28	83.27	87.63	81.34	73.44	0768
64	50.0	100.0	100.0	0.0	100.0	0.0	90.46	90.04	58.58	64.06	0500
0	63.315	-21.76	61.88	72.92	42.99	75.47	71.22	79.49	83.09	60.94	1787
0	24.9225	-49.55	0.29	0.0	0.0	99.4	19.58	20.86	57.74	46.88	1269
0	50.0	100.0	100.0	0.0	100.0	0.0	89.55	89.19	57.07	59.38	0042
0	50.0	100.0	100.0	0.0	100.0	0.0	89.39	89.45	58.15	50.0	0023
