K	ADVFM_AVG	ADVFM_NEW-OLD	ADVFM_behind	ADVFM_in	ADVFM_near	ADVFM_on	FM	FMS	PT	SYNTH	ID
64	75.0275	-21.94	71.41	87.68	56.71	84.31	77.06	87.83	85.04	82.81	1281
0	64.175	26.52	79.9	41.18	74.97	60.65	72.64	89.04	80.57	78.12	0280
0	50.0	100.0	100.0	0.0	100.0	0.0	89.51	90.08	57.94	51.56	0752
0	50.0	100.0	100.0	0.0	100.0	0.0	89.29	89.83	57.35	40.62	1288
0	50.0	100.0	100.0	0.0	100.0	0.0	89.96	90.54	58.51	68.75	0767
64	74.9325	11.09	84.92	76.03	76.03	62.75	83.7	87.89	82.27	68.75	0043
64	49.7125	99.43	99.9	0.0	98.95	0.0	85.24	85.74	57.53	34.38	1762
64	50.0	100.0	100.0	0.0	100.0	0.0	89.77	89.87	57.63	45.31	1752
0	50.0	100.0	100.0	0.0	100.0	0.0	90.18	89.98	57.92	46.88	0777
64	71.7375	40.66	91.35	39.73	92.79	63.08	87.26	90.64	82.86	70.31	0528
0	60.21	28.01	76.66	42.18	71.77	50.23	78.39	89.85	81.45	79.69	0782
0	50.0	100.0	100.0	0.0	100.0	0.0	89.61	89.45	58.69	48.44	0512
0	63.3225	23.15	80.03	46.61	69.77	56.88	78.57	89.71	84.99	71.88	0757
64	77.4	-19.35	73.04	85.13	62.41	89.02	76.21	89.39	84.35	79.69	1508
0	50.0	100.0	100.0	0.0	100.0	0.0	89.92	89.55	58.28	56.25	1029
64	73.695	4.69	78.36	74.58	73.72	68.12	79.83	84.87	81.78	68.75	0018
0	50.0	100.0	100.0	0.0	100.0	0.0	89.94	89.55	58.1	50.0	1517
0	58.7025	55.94	88.61	22.75	84.73	38.72	82.87	86.78	80.96	70.31	1540
64	64.075	49.86	88.87	16.87	89.14	61.42	85.5	91.62	80.55	89.06	1521
0	19.4125	38.83	43.77	0.0	33.88	0.0	21.32	21.1	0.0	15.62	0006
64	50.0	100.0	100.0	0.0	100.0	0.0	89.61	89.94	57.81	40.62	0281
0	50.0	100.0	100.0	0.0	100.0	0.0	89.15	89.1	56.81	51.56	1012
0	63.5725	42.03	85.64	38.29	83.53	46.83	78.55	88.46	80.11	75.0	1759
64	49.675	99.35	100.0	0.0	98.7	0.0	88.72	88.7	58.69	40.62	1256
0	50.0	100.0	100.0	0.0	100.0	0.0	88.92	89.75	57.61	45.31	1272
64	78.445	-5.52	82.8	78.8	68.57	83.61	81.61	89.79	85.71	76.56	1263
0	50.0	100.0	100.0	0.0	100.0	0.0	89.55	89.92	57.04	59.38	0014
64	0.1375	0.28	0.0	0.0	0.55	0.0	0.2	0.2	0.0	0.0	1789
0	40.53	76.46	98.01	3.33	59.51	1.27	60.19	60.59	59.1	32.81	1513
64	50.0	100.0	100.0	0.0	100.0	0.0	89.87	89.92	57.81	60.94	0267
0	62.18	36.92	84.4	50.39	76.88	37.05	78.23	84.97	79.63	65.62	1255
64	50.0	100.0	100.0	0.0	100.0	0.0	89.69	89.63	57.4	50.0	0501
64	50.0	100.0	100.0	0.0	100.0	0.0	90.34	89.91	56.27	51.56	0511
0	50.0375	-54.97	18.93	72.7	26.18	82.34	53.81	90.2	86.94	76.56	0529
64	78.475	-6.69	84.04	79.36	66.22	84.28	79.26	89.31	82.65	68.75	0537
0	66.1025	-27.44	55.61	84.02	49.15	75.63	72.64	86.09	86.32	71.88	0040
0	50.0	100.0	100.0	0.0	100.0	0.0	89.87	89.49	57.81	50.0	1017
0	60.175	-8.78	57.57	61.71	54.0	67.42	67.54	86.37	83.89	75.0	1512
0	50.0	100.0	100.0	0.0	100.0	0.0	89.77	89.83	58.66	32.81	1030
0	50.0	100.0	100.0	0.0	100.0	0.0	89.41	89.55	57.87	45.31	1757
64	68.8725	43.16	93.67	41.84	87.24	52.74	84.77	90.22	80.63	76.56	0522
64	71.6825	-20.88	61.98	82.8	60.51	81.44	76.0	84.93	82.45	79.69	1265
64	50.0	100.0	100.0	0.0	100.0	0.0	89.41	89.77	58.48	62.5	1251
64	72.675	38.05	89.16	61.04	94.24	46.26	87.0	89.61	81.6	75.0	0784
0	50.0	100.0	100.0	0.0	100.0	0.0	90.18	89.63	57.51	59.38	0001
64	73.3975	22.04	82.6	63.37	86.24	61.38	83.35	90.22	81.42	78.12	0034
64	50.5875	95.14	99.77	3.33	96.55	2.7	89.19	89.77	79.37	73.44	1503
64	25.2075	-19.87	0.91	59.38	29.63	10.91	13.79	13.65	28.66	29.69	1021
64	76.38	-11.59	75.46	83.57	65.72	80.77	77.08	87.95	82.29	79.69	1535
64	74.76	6.71	82.31	68.81	73.92	74.0	81.69	88.09	84.17	75.0	1768
0	50.0	100.0	100.0	0.0	100.0	0.0	89.98	90.38	57.07	50.0	0770
0	55.0725	-55.9	25.26	81.47	28.98	84.58	52.37	79.61	81.42	73.44	0774
0	50.0	100.0	100.0	0.0	100.0	0.0	89.77	89.92	58.84	43.75	1774
64	49.8875	99.77	100.0	0.0	99.55	0.0	87.71	88.4	58.04	37.5	0030
64	50.0	100.0	100.0	0.0	100.0	0.0	89.29	89.11	57.48	40.62	1785
0	50.0	100.0	100.0	0.0	100.0	0.0	89.29	89.33	55.97	53.12	0791
0	52.5475	80.15	94.16	3.88	91.09	21.06	85.62	89.87	80.55	75.0	0506
0	70.3575	11.48	78.92	55.94	73.27	73.3	78.23	88.56	82.81	79.69	1026
64	50.0	100.0	100.0	0.0	100.0	0.0	89.27	89.71	57.1	48.44	0516
64	25.7975	-38.8	0.23	82.02	12.56	8.38	11.24	10.92	36.0	29.69	0038
64	29.9125	7.92	62.79	16.2	4.95	35.71	42.51	43.48	58.66	40.62	0509
64	50.0	100.0	100.0	0.0	100.0	0.0	88.98	89.49	56.89	57.81	0793
64	0.05	0.1	0.0	0.0	0.2	0.0	0.06	0.08	0.0	0.0	0534
0	49.9875	99.97	100.0	0.0	99.95	0.0	89.71	89.1	57.66	75.0	0514
0	50.0	100.0	100.0	0.0	100.0	0.0	89.43	89.55	56.79	57.81	0523
64	68.0825	39.39	88.51	40.07	87.04	56.71	87.16	90.91	83.83	79.69	0754
64	67.5375	50.19	93.37	30.85	91.89	54.04	88.25	90.46	81.93	75.0	1005
0	50.0	100.0	100.0	0.0	100.0	0.0	89.39	89.59	57.74	35.94	1016
0	50.0	100.0	100.0	0.0	100.0	0.0	88.96	89.65	57.69	54.69	0273
0	25.0175	-37.93	0.29	42.51	11.81	45.46	9.9	10.09	41.29	23.44	1276
64	50.0	100.0	100.0	0.0	100.0	0.0	90.1	89.45	57.53	57.81	1504
64	72.4825	-10.26	72.49	77.69	62.21	77.54	77.95	84.04	81.96	75.0	1527
0	50.0	100.0	100.0	0.0	100.0	0.0	89.11	89.53	58.3	57.81	1754
0	50.0	100.0	100.0	0.0	100.0	0.0	89.19	88.62	57.99	54.69	0518
0	62.87	24.87	75.03	43.29	75.58	57.58	78.76	91.66	85.22	81.25	0775
0	67.7675	0.81	66.58	64.59	69.77	70.13	76.04	87.85	84.14	79.69	1758
0	63.9175	43.99	86.59	33.74	85.24	50.1	84.16	89.08	83.14	71.88	1515
0	32.6625	10.65	66.12	53.94	9.86	0.73	49.17	48.89	56.79	35.94	1282
64	64.575	-40.48	60.74	87.35	27.93	82.28	66.26	80.7	79.24	60.94	0546
0	58.775	-6.34	55.91	47.28	55.31	76.6	66.63	86.03	82.99	73.44	1028
0	50.0	100.0	100.0	0.0	100.0	0.0	89.39	89.31	58.2	43.75	0503
64	68.6725	-25.45	64.0	81.35	47.9	81.44	73.82	82.58	82.22	73.44	0277
64	50.0	100.0	100.0	0.0	100.0	0.0	89.49	89.51	56.45	65.62	1770
0	49.9875	99.97	100.0	0.0	99.95	0.0	89.08	89.69	58.38	45.31	0253
0	53.3775	86.61	97.91	5.66	95.45	14.49	86.07	93.16	82.76	82.81	0276
64	50.0	100.0	100.0	0.0	100.0	0.0	89.35	89.02	55.81	56.25	0025
64	50.0	100.0	100.0	0.0	100.0	0.0	89.92	90.54	57.97	51.56	0764
0	53.59	63.84	89.39	12.87	81.63	30.47	79.91	92.89	82.96	78.12	0274
0	50.0	100.0	100.0	0.0	100.0	0.0	89.83	89.45	57.89	64.06	0766
64	50.0	100.0	100.0	0.0	100.0	0.0	89.83	89.85	58.12	56.25	0786
64	56.9875	78.74	98.27	15.21	94.44	20.03	87.97	89.31	79.37	73.44	0292
64	59.0075	72.48	96.7	17.2	93.79	28.34	87.79	89.55	80.91	78.12	0264
0	35.78	-11.01	4.24	80.8	56.31	1.77	19.26	19.72	31.08	26.56	0538
64	54.2975	85.29	96.44	16.76	97.45	6.54	88.58	91.49	81.19	87.5	1518
0	62.9275	-27.62	50.98	76.14	47.25	77.34	67.05	85.72	84.81	68.75	0525
64	50.0	100.0	100.0	0.0	100.0	0.0	90.08	89.51	57.3	54.69	1024
0	50.0	100.0	100.0	0.0	100.0	0.0	89.49	89.11	57.35	50.0	1004
0	60.07	-7.76	66.38	64.82	46.0	63.08	64.36	75.74	80.24	70.31	0531
64	9.7775	11.05	3.52	4.44	27.08	4.07	9.07	8.95	4.59	9.38	1287
64	25.0475	-38.9	0.23	8.66	10.96	80.34	8.87	8.79	40.88	20.31	1001
64	66.295	51.79	90.54	30.97	93.84	49.83	88.27	92.49	82.86	76.56	0776
64	72.565	-30.28	68.6	91.9	46.25	83.51	70.53	77.16	80.96	62.5	1000
64	69.36	33.51	83.94	42.73	88.29	62.48	81.55	87.24	80.57	79.69	1280
0	38.8675	71.41	93.83	6.33	55.31	0.0	76.04	76.21	56.68	37.5	0521
0	49.9875	99.97	100.0	0.0	99.95	0.0	88.94	89.33	58.22	43.75	1777
0	50.3175	-68.43	13.19	82.91	19.02	86.15	44.98	77.78	81.24	65.62	1260
0	49.9875	99.97	100.0	0.0	99.95	0.0	89.47	89.71	57.89	42.19	1786
64	50.0	100.0	100.0	0.0	100.0	0.0	90.42	90.38	56.27	51.56	0007
64	50.0	100.0	100.0	0.0	100.0	0.0	90.2	90.18	58.1	32.81	1530
0	61.575	33.37	79.14	40.18	77.38	49.6	81.41	92.08	81.45	67.19	0027
0	50.0	100.0	100.0	0.0	100.0	0.0	89.39	89.73	57.74	48.44	1275
64	49.9875	99.97	100.0	0.0	99.95	0.0	89.57	90.28	57.4	42.19	0760
0	50.0	100.0	100.0	0.0	100.0	0.0	89.0	89.63	59.53	51.56	1505
0	61.545	-11.2	53.43	68.37	58.46	65.92	70.72	90.97	85.32	78.12	0295
64	70.595	13.25	82.02	52.94	72.42	75.0	81.51	87.18	82.42	76.56	0758
64	66.92	33.99	85.25	33.96	82.58	65.89	84.39	93.16	85.27	82.81	0502
0	67.52	-4.87	68.21	72.92	61.96	66.99	68.14	84.61	80.32	76.56	1511
0	50.0	100.0	100.0	0.0	100.0	0.0	89.45	89.55	57.38	39.06	0265
64	21.9325	4.44	7.67	39.29	40.64	0.13	11.68	11.52	7.29	17.19	0005
0	65.455	34.63	81.01	46.61	84.53	49.67	76.85	89.06	81.52	79.69	1764
0	61.8225	47.26	88.67	34.07	82.23	42.32	79.34	90.2	81.47	71.88	0527
0	69.125	6.22	80.16	80.8	64.31	51.23	78.25	81.55	78.47	76.56	0539
64	74.9175	-8.85	71.67	80.24	69.32	78.44	79.83	87.71	84.09	78.12	0294
64	50.0	100.0	100.0	0.0	100.0	0.0	89.63	89.04	58.3	46.88	0772
0	50.0	100.0	100.0	0.0	100.0	0.0	89.65	89.41	57.22	39.06	1034
0	50.0	100.0	100.0	0.0	100.0	0.0	90.12	89.65	58.04	57.81	1525
0	50.0	100.0	100.0	0.0	100.0	0.0	89.59	89.57	57.25	60.94	1023
0	50.0	100.0	100.0	0.0	100.0	0.0	89.43	89.98	58.76	57.81	1014
64	22.645	-40.31	0.03	79.02	4.95	6.58	9.7	10.47	37.77	39.06	0260
0	62.6375	-32.21	50.62	77.58	42.44	79.91	61.97	78.72	80.88	64.06	1290
64	2.3325	2.33	0.69	2.33	6.31	0.0	2.25	2.23	0.36	0.0	1267
0	58.945	70.65	96.25	12.43	92.29	34.81	89.57	91.09	83.01	76.56	1258
64	50.0	100.0	100.0	0.0	100.0	0.0	89.39	89.91	58.79	53.12	1532
64	49.95	99.9	100.0	0.0	99.8	0.0	89.02	89.13	58.25	59.38	1273
0	48.975	97.95	100.0	0.0	95.9	0.0	87.04	86.09	59.07	43.75	0284
0	61.62	-6.14	56.59	51.61	60.51	77.77	66.28	88.74	83.35	81.25	1534
64	50.0	100.0	100.0	0.0	100.0	0.0	89.87	89.89	57.33	57.81	1784
64	57.195	74.9	95.3	6.55	93.99	32.94	89.19	92.63	81.19	79.69	0017
0	50.0	100.0	100.0	0.0	100.0	0.0	89.37	89.45	58.28	56.25	1031
0	50.0	100.0	100.0	0.0	100.0	0.0	90.04	89.37	58.94	46.88	1761
64	79.05	-9.86	81.82	83.35	66.42	84.61	78.86	77.44	80.14	70.31	1539
64	50.0	100.0	100.0	0.0	100.0	0.0	90.28	89.96	57.02	59.38	0780
0	59.4825	9.0	59.69	52.39	68.27	57.58	72.34	85.6	80.37	68.75	1767
0	50.0	100.0	100.0	0.0	100.0	0.0	89.59	89.83	57.22	60.94	1760
64	50.0	100.0	100.0	0.0	100.0	0.0	88.86	88.68	57.87	51.56	0289
64	78.4925	-1.69	84.63	75.36	70.67	83.31	80.76	90.46	81.63	73.44	0540
64	50.0	100.0	100.0	0.0	100.0	0.0	89.92	90.4	58.79	62.5	1507
0	50.77	92.16	97.0	5.11	96.7	4.27	87.5	90.6	79.29	73.44	0012
64	67.355	39.19	85.51	45.39	88.39	50.13	85.05	90.12	82.6	71.88	1286
64	72.1275	-12.5	61.88	79.69	69.87	77.07	74.95	90.68	81.16	75.0	1257
64	50.0	100.0	100.0	0.0	100.0	0.0	89.49	90.04	59.3	54.69	1015
64	73.97	-16.17	73.47	85.9	58.31	78.2	76.61	84.04	81.83	76.56	0787
0	27.6375	-42.37	0.59	1.22	12.31	96.43	7.43	7.27	36.82	18.75	0544
64	50.0	100.0	100.0	0.0	100.0	0.0	89.69	89.77	56.74	57.81	1510
64	67.605	28.56	81.69	60.49	82.08	46.16	81.47	86.63	81.7	71.88	1264
0	50.0	100.0	100.0	0.0	100.0	0.0	90.08	89.69	58.07	51.56	0257
64	50.0	100.0	100.0	0.0	100.0	0.0	89.51	89.81	58.53	48.44	1509
0	60.3775	42.95	85.08	34.18	78.63	43.62	81.37	90.89	81.68	64.06	1002
0	49.9625	99.92	100.0	0.0	99.85	0.0	88.13	88.09	57.97	40.62	1252
0	55.645	-9.35	56.04	56.05	45.9	64.59	66.08	88.11	81.45	73.44	1036
64	77.71	8.35	84.79	76.14	78.98	70.93	82.08	88.31	80.78	70.31	1519
64	74.585	30.73	90.31	51.72	89.59	66.72	84.45	87.04	81.96	73.44	1755
0	49.95	99.9	100.0	0.0	99.8	0.0	89.41	89.89	57.71	59.38	1531
0	57.44	62.61	92.56	23.97	84.93	28.3	82.08	91.78	81.42	79.69	1006
64	72.4475	32.99	89.39	36.74	88.49	75.17	86.92	91.86	82.65	78.12	1010
64	3.175	2.35	0.69	4.0	8.01	0.0	2.71	2.84	0.72	0.0	1270
0	50.0	100.0	100.0	0.0	100.0	0.0	89.55	90.12	59.3	46.88	0541
64	50.0	100.0	100.0	0.0	100.0	0.0	89.37	89.43	57.33	51.56	1268
64	0.0375	0.08	0.0	0.0	0.15	0.0	0.06	0.06	0.0	0.0	1278
64	69.34	28.08	85.38	30.19	81.38	80.41	84.33	89.37	84.24	73.44	0755
64	50.0	100.0	100.0	0.0	100.0	0.0	89.87	89.61	56.68	42.19	1524
64	68.0975	45.25	89.65	29.63	91.79	61.32	84.55	90.18	81.45	73.44	1775
64	50.0	100.0	100.0	0.0	100.0	0.0	89.81	89.98	57.92	48.44	0792
0	59.975	63.13	93.54	19.87	89.54	36.95	84.33	91.51	82.96	73.44	1537
64	66.0425	37.23	83.98	37.74	85.34	57.11	82.58	90.6	80.47	71.88	0762
0	50.0	100.0	100.0	0.0	100.0	0.0	89.53	89.04	57.48	50.0	1038
0	52.5825	-59.76	21.83	82.02	23.57	82.91	54.92	81.69	82.04	70.31	0022
0	49.8075	99.62	99.93	0.0	99.3	0.0	89.11	89.02	58.48	50.0	0041
64	49.9875	99.97	100.0	0.0	99.95	0.0	89.77	89.39	58.46	48.44	0290
64	79.62	23.93	91.48	56.27	91.69	79.04	87.73	90.2	78.52	71.88	1013
64	69.75	-12.76	65.73	76.36	61.01	75.9	75.23	81.86	81.27	71.88	1771
64	61.1825	69.44	95.56	23.75	96.25	29.17	88.34	90.91	80.93	84.38	0268
64	49.1175	97.93	99.77	0.0	96.4	0.3	84.71	84.1	58.07	42.19	0505
0	60.3075	-22.79	46.08	70.14	51.75	73.26	63.3	85.44	82.5	75.0	0029
0	60.1575	6.64	63.64	42.62	63.31	71.06	70.64	85.44	82.4	75.0	1765
0	50.0	100.0	100.0	0.0	100.0	0.0	89.15	89.31	57.04	51.56	1011
0	50.0	100.0	100.0	0.0	100.0	0.0	89.11	89.13	58.66	50.0	1766
64	50.0	100.0	100.0	0.0	100.0	0.0	89.79	88.86	56.97	59.38	0028
64	50.0	100.0	100.0	0.0	100.0	0.0	89.27	89.21	57.27	56.25	1019
64	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1022
64	82.11	-2.51	82.18	86.46	79.53	80.27	82.36	91.47	83.83	87.5	0003
0	50.0	100.0	100.0	0.0	100.0	0.0	87.14	88.11	56.92	46.88	1779
0	50.0	100.0	100.0	0.0	100.0	0.0	89.06	89.06	56.68	37.5	0789
64	72.975	5.43	74.05	67.92	77.33	72.6	81.9	92.71	84.68	82.81	1037
64	49.9125	99.82	100.0	0.0	99.65	0.0	87.77	87.81	58.35	32.81	1020
64	72.1025	-21.13	74.28	80.02	48.8	85.31	77.42	87.99	86.07	73.44	0016
0	50.0	100.0	100.0	0.0	100.0	0.0	89.67	89.85	58.02	39.06	0781
64	50.0	100.0	100.0	0.0	100.0	0.0	89.98	89.96	58.17	56.25	0032
64	27.85	-39.11	16.19	94.78	0.4	0.03	31.88	32.1	57.35	32.81	0010
64	50.0	100.0	100.0	0.0	100.0	0.0	90.1	90.56	57.87	56.25	1041
64	63.2825	33.77	88.71	43.73	71.62	49.07	84.37	89.27	82.53	82.81	1018
64	51.9925	87.0	97.85	16.98	93.14	0.0	81.07	82.58	57.04	43.75	0037
0	50.0	100.0	100.0	0.0	100.0	0.0	89.41	89.51	57.07	54.69	1776
64	8.8375	1.35	2.81	16.32	16.22	0.0	5.37	5.51	2.57	3.12	0759
0	50.0	100.0	100.0	0.0	100.0	0.0	89.43	89.59	59.15	68.75	0773
64	71.9875	15.57	73.86	64.15	85.69	64.25	80.94	91.05	81.47	68.75	0296
0	50.0	100.0	100.0	0.0	100.0	0.0	89.73	89.83	57.66	67.19	0785
0	50.0	100.0	100.0	0.0	100.0	0.0	89.92	89.55	58.25	50.0	1780
0	50.105	99.66	99.97	0.55	99.9	0.0	91.15	90.02	77.75	78.12	1003
0	56.2575	-22.1	33.81	66.59	56.61	68.02	66.97	91.39	85.04	79.69	0513
0	49.9875	99.97	100.0	0.0	99.95	0.0	88.72	89.06	57.25	51.56	0254
64	50.0	100.0	100.0	0.0	100.0	0.0	89.37	89.73	56.27	48.44	0778
0	45.7175	89.44	98.89	2.0	81.98	0.0	80.94	80.32	57.15	31.25	1753
64	71.805	-33.95	57.41	89.01	52.25	88.55	68.95	80.48	82.32	78.12	0263
0	58.9775	-6.88	56.72	54.61	54.35	70.23	68.83	90.22	82.76	65.62	0510
0	51.1675	-38.61	29.99	69.15	33.73	71.8	58.99	88.36	86.12	76.56	0783
64	50.0	100.0	100.0	0.0	100.0	0.0	89.89	89.51	57.66	39.06	0788
0	52.96	87.3	96.77	7.44	96.45	11.18	88.78	89.96	79.34	71.88	0259
64	75.975	4.97	78.49	74.92	78.43	72.06	80.19	89.79	83.89	70.31	0039
0	50.0	100.0	100.0	0.0	100.0	0.0	90.22	89.23	58.76	51.56	0542
0	50.0	100.0	100.0	0.0	100.0	0.0	89.35	89.47	57.89	56.25	0532
0	54.625	-50.46	23.4	74.36	35.39	85.35	55.31	85.01	85.91	81.25	0020
64	29.245	-29.76	0.95	14.32	27.78	73.93	9.84	10.23	33.51	29.69	0019
0	50.0	100.0	100.0	0.0	100.0	0.0	90.14	89.89	56.17	45.31	0543
0	62.16	34.53	79.57	49.5	79.28	40.29	81.73	89.77	79.68	81.25	1007
0	65.6225	-11.34	58.45	68.92	61.46	73.66	65.43	82.79	80.11	54.69	0536
64	50.0	100.0	100.0	0.0	100.0	0.0	90.3	89.92	58.28	51.56	0756
64	79.4	6.72	83.84	69.37	81.68	82.71	84.31	89.75	83.22	82.81	0794
0	57.5575	38.57	79.41	22.31	74.27	54.24	73.01	90.4	82.47	68.75	0015
0	50.0	100.0	100.0	0.0	100.0	0.0	89.37	89.39	58.97	53.12	1514
64	79.325	-16.82	80.42	86.35	61.41	89.12	74.61	78.55	80.86	75.0	1788
0	50.0	100.0	100.0	0.0	100.0	0.0	89.39	89.85	58.04	50.0	1266
0	50.0	100.0	100.0	0.0	100.0	0.0	89.17	89.47	58.43	57.81	1040
0	65.53	27.95	78.23	43.06	80.78	60.05	76.75	90.64	82.53	75.0	0000
0	64.7475	12.44	77.58	37.51	64.36	79.54	74.71	74.56	81.24	70.31	1279
0	50.0	100.0	100.0	0.0	100.0	0.0	90.08	89.47	57.3	51.56	1250
64	50.0	100.0	100.0	0.0	100.0	0.0	89.39	89.77	57.3	45.31	0515
64	69.06	-29.94	57.08	87.79	51.1	80.27	76.45	82.97	83.42	76.56	1769
0	48.39	96.05	99.84	0.0	92.99	0.73	81.55	81.53	57.92	53.12	0530
0	61.2675	-9.46	56.07	61.93	57.01	70.06	66.89	88.64	83.29	75.0	1285
64	48.66	96.77	100.0	0.55	94.09	0.0	87.12	87.44	56.68	40.62	1277
64	50.0	100.0	100.0	0.0	100.0	0.0	89.33	89.63	58.81	59.38	1262
64	29.8975	-39.05	0.62	97.78	20.12	1.07	13.71	13.71	31.69	25.0	0269
64	26.7825	-13.69	4.44	67.15	35.44	0.1	12.09	13.08	12.47	20.31	0252
64	54.2	88.19	98.79	4.99	97.8	15.22	89.45	90.68	80.32	78.12	0270
0	50.0	100.0	100.0	0.0	100.0	0.0	88.96	89.45	57.22	50.0	1781
64	50.0	100.0	100.0	0.0	100.0	0.0	89.06	89.57	57.99	46.88	1032
64	50.0	100.0	100.0	0.0	100.0	0.0	89.75	89.17	58.07	46.88	0004
0	73.7175	3.12	77.68	68.15	72.87	76.17	80.94	85.4	84.81	71.88	0519
0	59.98	-0.26	61.39	66.15	58.31	54.07	74.6	90.93	83.55	81.25	1253
64	2.53	4.37	0.52	0.22	8.91	0.47	3.08	2.82	0.23	0.0	0002
64	75.63	9.96	85.44	76.25	75.78	65.05	82.02	89.0	80.88	65.62	1008
0	65.4175	5.7	72.72	61.82	63.81	63.32	71.12	87.79	80.86	76.56	0790
0	50.0	100.0	100.0	0.0	100.0	0.0	88.78	89.11	58.69	46.88	0520
64	50.0	100.0	100.0	0.0	100.0	0.0	88.76	89.81	57.87	45.31	0279
0	72.025	9.08	78.66	60.04	74.47	74.93	78.19	75.58	78.47	67.19	0771
0	64.855	-26.35	55.71	77.25	47.65	78.81	66.55	63.26	81.27	65.62	1283
64	50.0	100.0	100.0	0.0	100.0	0.0	89.11	89.47	57.61	48.44	1259
64	50.0	100.0	100.0	0.0	100.0	0.0	89.91	90.26	57.81	53.12	0271
64	49.9375	99.87	100.0	0.0	99.75	0.0	89.11	89.02	58.35	42.19	0765
0	50.0	100.0	100.0	0.0	100.0	0.0	89.98	89.57	56.94	56.25	0291
0	65.3625	30.3	79.8	46.28	81.23	54.14	77.58	91.35	82.83	76.56	0013
64	49.9875	99.97	100.0	0.0	99.95	0.0	89.39	88.78	57.66	42.19	1501
0	50.0	100.0	100.0	0.0	100.0	0.0	90.06	89.83	57.45	62.5	0021
64	71.265	17.46	84.27	50.83	75.73	74.23	83.43	91.17	82.83	78.12	1756
0	54.1225	-14.21	54.05	51.05	39.99	71.4	64.95	85.16	82.6	65.62	1778
0	40.0125	64.82	96.34	15.21	48.5	0.0	76.08	76.08	57.81	48.44	1536
64	49.975	99.95	100.0	0.0	99.9	0.0	90.0	90.14	57.84	64.06	1526
64	50.0	100.0	100.0	0.0	100.0	0.0	89.45	89.71	58.56	46.88	0763
0	50.0	100.0	100.0	0.0	100.0	0.0	89.43	89.79	58.28	57.81	1261
