K	ADVFM_AVG	ADVFM_NEW-OLD	ADVFM_behind	ADVFM_in	ADVFM_near	ADVFM_on	ADVFM_under	FM	FMS	PT	SYNTH	ID
0	60.0	100.0	100.0	0.0	100.0	0.0	100.0	88.13	88.19	58.45	54.69	2124
64	60.0	100.0	100.0	0.0	100.0	0.0	100.0	88.18	88.69	57.69	42.19	1254
64	76.576	-13.37	60.96	82.81	72.29	86.39	80.43	67.9	76.21	67.77	57.81	2509
64	76.86	-17.7	79.37	91.11	52.4	83.85	77.57	72.24	86.28	78.2	67.19	2556
0	60.0	100.0	100.0	0.0	100.0	0.0	100.0	88.87	89.05	59.01	71.88	1042
0	59.804	-32.45	46.57	71.46	39.87	87.09	54.03	58.14	80.71	80.81	57.81	2301
64	60.0	100.0	100.0	0.0	100.0	0.0	100.0	89.3	88.74	57.61	56.25	2053
0	60.0	100.0	100.0	0.0	100.0	0.0	100.0	88.94	89.3	56.69	68.75	1824
64	37.464	62.44	62.76	0.0	55.21	0.0	69.35	31.29	31.84	0.9	18.75	1266
64	60.0	100.0	100.0	0.0	100.0	0.0	100.0	88.75	89.1	56.91	48.44	2516
64	60.0	100.0	100.0	0.0	100.0	0.0	100.0	88.77	88.26	58.34	60.94	2006
64	80.014	20.31	87.65	83.98	88.28	51.67	88.49	83.4	84.63	68.13	54.69	1033
64	72.386	53.41	91.48	62.81	94.54	17.87	95.23	86.44	87.98	70.62	73.44	1558
0	60.0	100.0	100.0	0.0	100.0	0.0	100.0	89.4	88.84	58.2	46.88	1061
0	71.502	57.13	95.0	21.75	92.17	52.7	95.89	86.26	86.15	70.12	71.88	2120
0	76.258	18.91	73.28	72.05	86.98	57.78	91.2	80.89	88.66	75.69	68.75	2578
0	58.006	96.19	98.84	0.58	90.98	0.0	99.63	45.23	45.36	6.18	42.19	2250
0	60.0	100.0	100.0	0.0	100.0	0.0	100.0	88.71	88.8	57.02	60.94	1620
64	30.804	0.93	54.49	58.95	0.11	1.54	38.93	50.94	51.12	58.14	29.69	1576
64	62.834	-29.86	70.4	65.03	41.87	96.47	40.4	54.67	84.15	68.58	64.06	2082
0	60.0	100.0	100.0	0.0	100.0	0.0	100.0	88.64	88.82	57.36	57.81	2252
0	60.0	100.0	100.0	0.0	100.0	0.0	100.0	88.31	88.74	59.6	46.88	2043
0	60.0	100.0	100.0	0.0	100.0	0.0	100.0	88.95	88.74	58.03	46.88	2351
0	60.0	100.0	100.0	0.0	100.0	0.0	100.0	89.6	89.09	59.04	46.88	1307
64	60.0	100.0	100.0	0.0	100.0	0.0	100.0	88.67	88.51	58.23	59.38	1054
0	60.0	100.0	100.0	0.0	100.0	0.0	100.0	88.34	88.33	57.53	43.75	2622
0	58.528	-44.51	29.53	84.33	49.76	86.13	42.89	50.41	72.59	75.46	54.69	1789
0	71.328	21.11	81.56	66.9	72.72	50.42	85.04	82.89	90.87	83.35	79.69	1787
64	60.0	100.0	100.0	0.0	100.0	0.0	100.0	88.77	88.38	60.16	40.62	2619
64	60.0	100.0	100.0	0.0	100.0	0.0	100.0	88.84	89.07	57.13	60.94	1261
64	60.0	100.0	100.0	0.0	100.0	0.0	100.0	88.49	88.64	57.53	45.31	1524
64	60.0	100.0	100.0	0.0	100.0	0.0	100.0	88.44	88.52	56.8	35.94	1284
0	73.268	42.68	92.78	32.87	86.82	62.45	91.42	84.66	80.63	67.8	60.94	2093
0	56.436	91.53	91.59	3.04	88.87	0.0	98.68	37.1	36.59	5.04	39.06	2591
64	60.0	100.0	100.0	0.0	100.0	0.0	100.0	88.85	88.59	58.31	64.06	1837
64	60.0	100.0	100.0	0.0	100.0	0.0	100.0	89.04	88.69	57.36	56.25	2264
64	60.0	100.0	100.0	0.0	100.0	0.0	100.0	88.0	88.11	58.42	39.06	1336
0	60.0	100.0	100.0	0.0	100.0	0.0	100.0	88.94	89.02	58.7	56.25	1327
64	58.912	88.64	96.27	11.46	96.43	0.0	90.4	74.36	75.18	59.18	59.38	2062
64	78.96	4.42	82.01	82.22	79.31	70.39	80.87	78.22	84.16	68.69	65.62	1563
64	60.0	100.0	100.0	0.0	100.0	0.0	100.0	89.12	88.74	58.39	46.88	2369
64	60.0	100.0	100.0	0.0	100.0	0.0	100.0	88.51	88.39	58.17	50.0	1028
0	60.0	100.0	100.0	0.0	100.0	0.0	100.0	88.64	88.31	57.41	46.88	1270
64	60.0	100.0	100.0	0.0	100.0	0.0	100.0	89.04	88.66	57.97	68.75	1542
64	70.002	-28.8	62.69	87.25	61.37	87.31	51.39	65.92	78.1	75.71	57.81	1083
64	73.418	52.76	91.66	16.96	95.35	66.57	96.55	86.38	89.17	74.26	60.94	1821
64	60.0	100.0	100.0	0.0	100.0	0.0	100.0	88.49	88.59	58.51	56.25	2635
64	65.31	81.4	96.97	23.16	97.89	9.78	98.75	87.3	88.33	67.99	57.81	2541
64	60.0	100.0	100.0	0.0	100.0	0.0	100.0	88.52	88.95	57.33	56.25	2003
0	67.142	0.69	75.33	52.87	58.89	80.58	68.04	69.42	83.87	80.67	64.06	1526
0	70.256	49.11	90.5	28.54	86.39	53.03	92.82	83.65	89.6	79.57	82.81	2064
0	60.0	100.0	100.0	0.0	100.0	0.0	100.0	89.22	88.66	57.78	39.06	1762
0	59.99	99.98	100.0	0.0	99.95	0.0	100.0	89.13	89.07	67.1	68.75	1756
0	68.478	-11.07	68.0	74.74	60.94	75.51	63.2	63.97	60.35	66.84	54.69	1785
0	60.0	100.0	100.0	0.0	100.0	0.0	100.0	89.15	89.18	57.33	65.62	2357
64	60.0	100.0	100.0	0.0	100.0	0.0	100.0	88.71	88.9	58.0	62.5	2121
0	60.036	99.87	100.0	0.23	99.95	0.0	100.0	88.67	89.04	67.4	67.19	1119
0	60.0	100.0	100.0	0.0	100.0	0.0	100.0	88.97	88.89	57.47	59.38	1037
64	60.0	100.0	100.0	0.0	100.0	0.0	100.0	88.49	88.97	57.58	48.44	2567
0	78.376	11.47	80.43	68.07	77.26	74.92	91.2	75.4	85.16	72.8	64.06	1046
64	69.298	-30.38	69.98	90.06	42.52	84.99	58.94	69.48	80.61	78.15	65.62	1318
0	60.0	100.0	100.0	0.0	100.0	0.0	100.0	88.89	88.69	58.37	46.88	1834
64	60.0	100.0	100.0	0.0	100.0	0.0	100.0	88.74	88.95	58.81	54.69	1750
0	60.0	100.0	100.0	0.0	100.0	0.0	100.0	88.04	88.39	59.15	46.88	1830
0	60.0	100.0	100.0	0.0	100.0	0.0	100.0	88.28	88.04	58.48	43.75	1117
64	79.81	-0.41	79.41	81.99	73.31	78.12	86.22	78.95	85.62	76.27	59.38	2595
0	60.0	100.0	100.0	0.0	100.0	0.0	100.0	88.77	88.62	57.72	67.19	2374
64	60.0	100.0	100.0	0.0	100.0	0.0	100.0	88.52	88.41	57.78	45.31	1106
64	60.0	100.0	100.0	0.0	100.0	0.0	100.0	88.38	88.59	58.39	59.38	2061
64	60.0	100.0	100.0	0.0	100.0	0.0	100.0	88.67	88.62	58.51	54.69	1077
0	67.84	-3.86	67.41	55.79	61.32	84.52	70.16	72.7	86.56	81.76	67.19	2356
64	60.0	100.0	100.0	0.0	100.0	0.0	100.0	88.46	88.66	58.76	48.44	2330
0	62.882	89.06	97.29	6.32	98.81	12.58	99.41	89.43	91.71	80.61	78.12	2277
0	60.0	100.0	100.0	0.0	100.0	0.0	100.0	88.52	88.47	57.83	67.19	1800
64	60.0	100.0	100.0	0.0	100.0	0.0	100.0	88.61	88.62	59.23	75.0	1293
0	65.042	-24.09	51.78	77.31	58.35	81.68	56.09	57.53	76.7	73.73	60.94	2086
0	60.0	100.0	100.0	0.0	100.0	0.0	100.0	88.54	88.79	58.56	64.06	2016
0	75.304	-2.64	73.14	73.57	66.02	80.21	83.58	68.94	74.74	70.84	65.62	2291
0	60.0	100.0	100.0	0.0	100.0	0.0	100.0	88.74	88.41	57.3	57.81	2308
64	58.434	96.32	99.08	1.29	91.95	0.0	99.85	45.24	45.0	7.47	26.56	1257
64	60.0	100.0	100.0	0.0	100.0	0.0	100.0	88.9	89.02	58.62	53.12	2262
0	60.0	100.0	100.0	0.0	100.0	0.0	100.0	88.19	88.52	57.58	57.81	2133
0	60.0	100.0	100.0	0.0	100.0	0.0	100.0	87.91	88.38	58.23	57.81	2268
64	60.0	100.0	100.0	0.0	100.0	0.0	100.0	88.29	88.41	58.59	51.56	1008
